Period,Period1,Type,Revision,Location,Integrated,Values
03-01-24,Mar-24,HeadCount,V32,Farnborough,Non-Integrated,39.00
03-01-24,Mar-24,HeadCount,V32,New Delhi,All,1.00
03-01-24,Mar-24,HeadCount,V32,New Delhi,Integrated,0.00
03-01-24,Mar-24,HeadCount,V32,New Delhi,Non-Integrated,1.00
03-01-24,Mar-24,HeadCount,V32,Offshore Other,All,1.00
03-01-24,Mar-24,HeadCount,V32,Offshore Other,Integrated,0.00
03-01-24,Mar-24,HeadCount,V32,Offshore Other,Non-Integrated,1.00
03-01-24,Mar-24,HeadCount,V32,Tengiz,All,288.00
03-01-24,Mar-24,HeadCount,V32,Tengiz,Integrated,226.00
03-01-24,Mar-24,HeadCount,V32,Tengiz,Non-Integrated,62.00
04-01-24,Apr-24,HeadCount,V32,Almaty,All,2.00
04-01-24,Apr-24,HeadCount,V32,Almaty,Integrated,0.00
04-01-24,Apr-24,HeadCount,V32,Almaty,Non-Integrated,2.00
04-01-24,Apr-24,HeadCount,V32,Atyrau,All,112.00
04-01-24,Apr-24,HeadCount,V32,Atyrau,Integrated,10.00
04-01-24,Apr-24,HeadCount,V32,Atyrau,Non-Integrated,102.00
04-01-24,Apr-24,HeadCount,V32,Farnborough,All,37.00
04-01-24,Apr-24,HeadCount,V32,Farnborough,Integrated,1.00
04-01-24,Apr-24,HeadCount,V32,Farnborough,Non-Integrated,36.00
04-01-24,Apr-24,HeadCount,V32,New Delhi,All,1.00
04-01-24,Apr-24,HeadCount,V32,New Delhi,Integrated,0.00
04-01-24,Apr-24,HeadCount,V32,New Delhi,Non-Integrated,1.00
04-01-24,Apr-24,HeadCount,V32,Offshore Other,All,1.00
04-01-24,Apr-24,HeadCount,V32,Offshore Other,Integrated,0.00
04-01-24,Apr-24,HeadCount,V32,Offshore Other,Non-Integrated,1.00
04-01-24,Apr-24,HeadCount,V32,Tengiz,All,219.00
04-01-24,Apr-24,HeadCount,V32,Tengiz,Integrated,182.00
04-01-24,Apr-24,HeadCount,V32,Tengiz,Non-Integrated,37.00
05-01-24,May-24,HeadCount,V32,Almaty,All,1.00
05-01-24,May-24,HeadCount,V32,Almaty,Integrated,0.00
05-01-24,May-24,HeadCount,V32,Almaty,Non-Integrated,1.00
05-01-24,May-24,HeadCount,V32,Atyrau,All,94.00
05-01-24,May-24,HeadCount,V32,Atyrau,Integrated,10.00
05-01-24,May-24,HeadCount,V32,Atyrau,Non-Integrated,84.00
05-01-24,May-24,HeadCount,V32,Farnborough,All,34.00
05-01-24,May-24,HeadCount,V32,Farnborough,Integrated,1.00
05-01-24,May-24,HeadCount,V32,Farnborough,Non-Integrated,33.00
05-01-24,May-24,HeadCount,V32,New Delhi,All,1.00
05-01-24,May-24,HeadCount,V32,New Delhi,Integrated,0.00
05-01-24,May-24,HeadCount,V32,New Delhi,Non-Integrated,1.00
05-01-24,May-24,HeadCount,V32,Offshore Other,All,1.00
05-01-24,May-24,HeadCount,V32,Offshore Other,Integrated,0.00
05-01-24,May-24,HeadCount,V32,Offshore Other,Non-Integrated,1.00
05-01-24,May-24,HeadCount,V32,Tengiz,All,210.00
05-01-24,May-24,HeadCount,V32,Tengiz,Integrated,180.00
05-01-24,May-24,HeadCount,V32,Tengiz,Non-Integrated,30.00
06-01-24,Jun-24,HeadCount,V32,Almaty,All,1.00
06-01-24,Jun-24,HeadCount,V32,Almaty,Integrated,0.00
06-01-24,Jun-24,HeadCount,V32,Almaty,Non-Integrated,1.00
06-01-24,Jun-24,HeadCount,V32,Atyrau,All,72.00
06-01-24,Jun-24,HeadCount,V32,Atyrau,Integrated,10.00
06-01-24,Jun-24,HeadCount,V32,Atyrau,Non-Integrated,62.00
06-01-24,Jun-24,HeadCount,V32,Farnborough,All,23.00
06-01-24,Jun-24,HeadCount,V32,Farnborough,Integrated,1.00
06-01-24,Jun-24,HeadCount,V32,Farnborough,Non-Integrated,22.00
06-01-24,Jun-24,HeadCount,V32,New Delhi,All,0.00
06-01-24,Jun-24,HeadCount,V32,New Delhi,Integrated,0.00
06-01-24,Jun-24,HeadCount,V32,New Delhi,Non-Integrated,0.00
06-01-24,Jun-24,HeadCount,V32,Offshore Other,All,0.00
06-01-24,Jun-24,HeadCount,V32,Offshore Other,Integrated,0.00
06-01-24,Jun-24,HeadCount,V32,Offshore Other,Non-Integrated,0.00
06-01-24,Jun-24,HeadCount,V32,Tengiz,All,197.00
06-01-24,Jun-24,HeadCount,V32,Tengiz,Integrated,167.00
06-01-24,Jun-24,HeadCount,V32,Tengiz,Non-Integrated,30.00
07-01-24,Jul-24,HeadCount,V32,Almaty,All,1.00
07-01-24,Jul-24,HeadCount,V32,Almaty,Integrated,0.00
07-01-24,Jul-24,HeadCount,V32,Almaty,Non-Integrated,1.00
07-01-24,Jul-24,HeadCount,V32,Atyrau,All,58.00
07-01-24,Jul-24,HeadCount,V32,Atyrau,Integrated,1.00
07-01-24,Jul-24,HeadCount,V32,Atyrau,Non-Integrated,57.00
